"09290: Svevestøv, organiske miljøgifter fra norsk økonomisk aktivitet, etter statistikkvariabel, næring, komponent og år",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26
,,PAH-4,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0
,,Dioksin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Informasjons- og teknologitjenester,Svevestøv - TSP,6,6,6,5,5,5,5,5,5,4,4,4,3,3,2,2,2,1,1,1,1,1,0,0
,,Svevestøv - PM10,6,6,6,5,5,5,5,5,5,4,4,4,3,3,2,2,2,1,1,1,1,1,0,0
,,"Svevestøv - PM2,5",6,6,6,5,5,5,5,5,5,4,4,4,3,3,2,2,2,1,1,1,1,1,0,0
,,PAH-4,2,2,2,2,2,2,2,2,2,2,3,2,3,3,2,2,2,2,2,2,1,2,1,1
,,Dioksin,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
,Finansierings- og forsikringsvirksomhet,Svevestøv - TSP,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Svevestøv - PM10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Svevestøv - PM2,5",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,,PAH-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Dioksin,1,1,1,1,1,1,1,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
,Omsetning og drift av fast eiendom,Svevestøv - TSP,22,22,22,21,21,20,20,19,19,18,23,18,14,15,10,9,8,7,8,5,6,5,3,4
,,Svevestøv - PM10,21,21,21,19,19,19,19,19,18,17,20,16,13,14,9,8,8,6,7,5,6,5,3,4
,,"Svevestøv - PM2,5",21,21,20,19,18,18,19,19,18,16,19,15,13,14,9,8,8,6,7,5,6,5,3,4
,,PAH-4,7,7,7,7,7,7,7,8,8,7,8,8,8,10,7,8,8,7,8,7,6,7,6,5
,,Dioksin,4,5,5,5,5,5,4,4,4,5,7,5,5,5,4,3,3,3,4,2,8,6,2,3
,Tjenesteytende næringer ellers,Svevestøv - TSP,90,88,86,81,79,80,86,84,83,76,71,94,78,108,90,55,54,52,80,39,19,23,15,42
,,Svevestøv - PM10,90,87,84,79,77,79,85,84,83,75,69,93,77,107,89,55,53,51,80,39,19,23,15,42
,,"Svevestøv - PM2,5",89,86,83,78,76,78,84,83,82,74,67,90,75,104,86,54,52,50,77,38,18,22,15,40
,,PAH-4,21,23,24,23,24,24,27,28,29,28,29,35,35,35,34,36,39,45,45,37,33,37,37,36
,,Dioksin,29,28,28,31,31,32,39,37,41,44,42,69,52,88,73,58,37,44,131,59,15,29,12,83
,Rørtransport,Svevestøv - TSP,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,,Svevestøv - PM10,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,,"Svevestøv - PM2,5",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,,PAH-4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,,Dioksin,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Utenriks sjøfart,Svevestøv - TSP,17973,21541,17437,13879,16799,15064,23802,19044,12961,10514,11840,18459,18505,17716,15891,27324,14880,18696,23228,24296,22547,19977,24331,24331
,,Svevestøv - PM10,17973,21541,17437,13878,16799,15064,23802,19044,12961,10514,11840,18459,18505,17716,15891,27324,14880,18696,23228,24296,22547,19977,24331,24331
,,"Svevestøv - PM2,5",17074,20464,16565,13184,15959,14311,22612,18092,12313,9988,11248,17536,17579,16830,15097,25957,14136,17762,22066,23081,21420,18978,23114,23115
,,PAH-4,220,241,196,164,203,185,296,226,103,93,93,173,164,159,148,167,116,137,153,160,149,132,161,161
,,Dioksin,17835,20697,16788,13590,16614,14987,23781,18653,11124,9329,10149,16677,16425,15800,14330,21927,12715,15718,19000,19874,18444,16342,19902,19902
,"Landtransport, unntatt rørtransport",Svevestøv - TSP,7061,6868,6710,6659,6631,6811,6809,6949,6715,6237,6079,6203,5844,5726,5684,5620,4675,4421,4707,4566,4240,4156,4121,4132
,,Svevestøv - PM10,3969,3856,3766,3718,3694,3784,3792,3865,3720,3437,3304,3344,3141,3056,3026,2970,2472,2323,2458,2375,2194,2142,2119,2120
,,"Svevestøv - PM2,5",1391,1347,1313,1268,1246,1262,1277,1296,1224,1104,991,962,888,831,812,761,637,576,585,548,490,464,451,443
,,PAH-4,232,251,256,256,268,273,296,317,322,315,312,323,324,321,362,358,360,339,353,352,309,314,321,301
,,Dioksin,57,63,64,65,66,66,71,75,76,75,78,79,79,78,88,89,86,79,82,81,71,73,74,70
,Innenriks sjøfart,Svevestøv - TSP,1188,1169,1221,1254,1220,1286,1300,1231,1185,1049,894,848,891,818,851,672,647,709,726,733,542,499,511,596
,,Svevestøv - PM10,1187,1168,1221,1254,1220,1286,1300,1230,1185,1049,894,847,891,818,850,672,645,707,725,733,542,499,511,596
,,"Svevestøv - PM2,5",1128,1110,1160,1191,1159,1223,1235,1169,1126,997,849,805,847,778,808,639,612,672,689,697,516,475,486,567
,,PAH-4,35,36,35,41,41,49,43,41,37,36,30,28,27,27,26,25,30,33,36,35,44,47,48,56
,,Dioksin,1772,1760,1816,2000,1992,1992,2004,1942,1788,1668,1451,1359,1371,1297,1315,1171,1080,1192,1255,1271,1152,1172,1275,1489
,Lufttransport,Svevestøv - TSP,78,76,64,66,65,69,77,86,94,99,122,138,155,176,189,206,174,188,209,243,70,59,195,192
,,Svevestøv - PM10,78,76,64,65,65,69,76,86,94,99,122,138,155,176,189,206,174,188,209,243,70,59,195,192
,,"Svevestøv - PM2,5",78,76,64,65,65,69,76,86,94,98,122,138,155,176,189,206,174,188,209,243,70,59,195,192
,,PAH-4,16,16,14,14,14,14,16,18,20,20,25,28,31,34,37,38,34,36,39,45,14,11,32,37
,,Dioksin,39,39,37,36,38,35,37,41,45,46,55,63,68,74,81,86,73,77,85,97,31,27,71,81
,Lagring og andre tjenester tilknyttet transport,Svevestøv - TSP,64,64,58,61,60,62,78,66,83,79,75,130,87,211,48,66,69,75,62,78,25,47,45,71
,,Svevestøv - PM10,63,63,57,59,58,61,76,65,82,78,75,129,86,211,48,66,69,75,60,77,25,47,45,71
,,"Svevestøv - PM2,5",60,60,54,56,55,58,73,63,78,74,72,123,82,201,46,63,66,71,57,73,24,45,43,67
,,PAH-4,10,10,10,10,11,11,12,12,13,12,19,12,12,20,16,13,16,18,18,17,17,16,17,21
,,Dioksin,52,49,46,55,55,59,79,70,86,90,89,125,117,225,80,133,142,155,120,140,43,104,98,160
,Undervisning,Svevestøv - TSP,2,2,2,13,17,15,22,33,28,28,37,41,47,45,36,31,31,30,24,35,46,15,13,12
,,Svevestøv - PM10,2,2,2,12,16,14,20,31,26,26,35,39,44,42,34,29,29,29,22,33,43,15,13,11
,,"Svevestøv - PM2,5",2,2,2,12,15,14,20,31,26,26,34,38,44,42,34,29,29,29,22,33,43,15,13,11
,,PAH-4,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,6,6,6
,,Dioksin,4,4,4,8,9,9,12,16,14,15,18,20,22,20,16,14,16,12,12,14,18,8,7,9
,Helsetjenester,Svevestøv - TSP,3,4,4,7,8,7,8,12,9,12,17,17,16,18,14,12,11,12,9,13,17,6,4,5
,,Svevestøv - PM10,2,3,3,6,7,6,7,11,8,10,14,15,15,17,13,11,11,11,8,12,16,6,4,5
,,"Svevestøv - PM2,5",2,3,3,5,6,6,7,11,8,10,14,15,14,16,13,11,11,11,8,12,16,6,4,5
,,PAH-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
,,Dioksin,178,160,24,25,25,25,4,5,4,5,8,7,7,7,6,5,5,5,4,5,7,3,2,5
,"Pleie- og omsorgstjenester, barnehager og SFO",Svevestøv - TSP,6,6,6,5,5,5,5,5,4,4,4,3,3,3,2,2,1,1,0,0,0,2,1,0
,,Svevestøv - PM10,6,6,6,5,5,5,5,5,4,4,4,3,3,3,2,2,1,1,0,0,0,2,1,0
,,"Svevestøv - PM2,5",6,6,6,5,5,5,5,5,4,4,4,3,3,3,2,2,1,1,0,0,0,1,1,0
,,PAH-4,4,4,4,4,4,4,3,3,3,3,2,2,2,2,2,2,1,1,0,0,0,4,2,1
,,Dioksin,4,4,4,4,3,3,3,3,3,3,4,1,1,1,1,1,0,0,0,0,0,1,0,0
,Offentlig administrasjon og forsvar,Svevestøv - TSP,132,170,148,161,159,113,132,140,128,167,127,182,169,188,167,127,129,139,142,126,141,91,97,87
,,Svevestøv - PM10,123,159,134,141,144,103,120,129,119,155,118,173,161,177,157,123,124,134,137,123,136,89,95,86
,,"Svevestøv - PM2,5",115,149,126,130,135,97,114,123,114,147,113,168,158,165,145,120,121,131,134,119,133,86,92,83
,,PAH-4,12,15,15,13,14,12,13,12,12,14,11,12,12,16,15,10,10,10,9,11,8,10,12,9
,,Dioksin,197,277,197,217,221,133,164,155,178,242,145,202,186,209,173,163,165,189,182,181,183,169,191,178
,,,,,,,,,,,,,,,,,,,,,,,,,,
På grunn av avrunding vil totaler kunne avvike fra summen av undergrupper.,,,,,,,,,,,,,,,,,,,,,,,,,,
Utslipp fra utenriks sjøfart og luftfart er inkludert,,,,,,,,,,,,,,,,,,,,,,,,,,
"Beregningen for svevestøv fra veislitasje gjennomgås, og publisering i november 2024 er foreløpige resultater for hele tidsserien fra 1990. Ferdigstilte veistøvmengder for hele tidsserien er planlagt publisert i november 2025.",,,,,,,,,,,,,,,,,,,,,,,,,,
. = Ikke mulig å oppgi tall. Tall finnes ikke på dette tidspunktet fordi kategorien ikke var i bruk da tallene ble samlet inn.,,,,,,,,,,,,,,,,,,,,,,,,,,
næring:,,,,,,,,,,,,,,,,,,,,,,,,,,
Rørtransport:,,,,,,,,,,,,,,,,,,,,,,,,,,
'N.08.01.00 Rørtransport' er inkludert i 'N.02.02.00 Utvinning av råolje og naturgass',,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Sist endret:,,,,,,,,,,,,,,,,,,,,,,,,,,
"Utslipp til luft (dioksin i mg, PAH i kg og svevestøv i tonn):",,,,,,,,,,,,,,,,,,,,,,,,,,
20241105 08:00,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Kilde:,,,,,,,,,,,,,,,,,,,,,,,,,,
Statistisk sentralbyrå,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Kontakt:,,,,,,,,,,,,,,,,,,,,,,,,,,
"Utslipp til luft (dioksin i mg, PAH i kg og svevestøv i tonn):",,,,,,,,,,,,,,,,,,,,,,,,,,
"Trude Melby Bothner, Statistisk sentralbyrå",,,,,,,,,,,,,,,,,,,,,,,,,,
 +47 408 11 425,,,,,,,,,,,,,,,,,,,,,,,,,,
tmb@ssb.no,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eirik Knutsen, Statistisk sentralbyrå",,,,,,,,,,,,,,,,,,,,,,,,,,
 +47 9848 9464,,,,,,,,,,,,,,,,,,,,,,,,,,
eir@ssb.no,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Måleenhet:,,,,,,,,,,,,,,,,,,,,,,,,,,
"Utslipp til luft (dioksin i mg, PAH i kg og svevestøv i tonn):",,,,,,,,,,,,,,,,,,,,,,,,,,
"tonn, kg eller mg",,,,,,,,,,,,,,,,,,,,,,,,,,
Målemetode:,,,,,,,,,,,,,,,,,,,,,,,,,,
"Utslipp til luft (dioksin i mg, PAH i kg og svevestøv i tonn):",,,,,,,,,,,,,,,,,,,,,,,,,,
Forløp (periodesum),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Referansetid:,,,,,,,,,,,,,,,,,,,,,,,,,,
"Utslipp til luft (dioksin i mg, PAH i kg og svevestøv i tonn)",,,,,,,,,,,,,,,,,,,,,,,,,,
31.12.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Offisiell statistikk,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Database:,,,,,,,,,,,,,,,,,,,,,,,,,,
Ekstern PRODUKSJON,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Intern referansekode:,,,,,,,,,,,,,,,,,,,,,,,,,,
Utslipp,,,,,,,,,,,,,,,,,,,,,,,,,,
